cov_id,study_id,study_name,month_start,year_start,month_end,year_end,year_publish,year_mid,country,region_actual,region_analysis,urban_rural,location,study_design,study_sample,sex,population,population_detail,age_group,reproductive_age,age_range,age_min,age_max,age_mean,age_median,age_iqr,hiv_status,hiv_tested,hiv_positive,hiv_prevalence,sti,num,denom,prev,specimen,test,sens,spec,adj_prev,adj_se,adj_prev_lwr,adj_prev_upr,adj_num,adj_denom
#22440,Jespers 2014,NA,NR,2010,NR,2011,2014,2011,Kenya,EA,EA,Urban,Mombasa,Cross sectional,Consecutive,Female,FP attendees,"Reference group, recruited from FP clinic",Adult,Y,18 to 35,18,35,25,NA,NA,HIV negative,110,0,0,NG,1,110,0.009090909,genital fluid,NAAT,93.3,99.2,0.014261019,0.012522807,0.000438381,0.047225569,1.278379159,89.64150259
#22440,Jespers 2014,NA,NR,2010,NR,2011,2014,2011,Kenya,EA,EA,Urban,Mombasa,Cross sectional,Consecutive,Female,FP attendees,"Reference group, recruited from FP clinic",Adult,Y,18 to 35,18,35,25,NA,NA,HIV negative,110,0,0,TV,3,110,0.027272727,genital fluid,culture,68.8,100,0.051497352,0.024916152,0.013992726,0.108580484,4.051784944,78.67948131
#21935,Deese 2021,ECHO,December,2015,September,2017,2021,2016,Kenya,EA,EA,Urban,Kisumu,RCT,Convenience,Female,FP attendees,"Non-pregnant, HIV-seronegative women aged 16–35 years participating in ECHO trial who were seeking effective contraception",Adult,Y,16 to 35,16,35,NA,NA,NA,HIV negative,901,0,0,CT,99,901,0.11,genital fluid,NAAT,88.6,99.6,0.120948818,0.012091707,0.09859321,0.145371456,87.95128527,727.1777157
#21935,Deese 2021,ECHO,December,2015,September,2017,2021,2016,Kenya,EA,EA,Urban,Kisumu,RCT,Convenience,Female,FP attendees,"Non-pregnant, HIV-seronegative women aged 16–35 years participating in ECHO trial who were seeking effective contraception",Adult,Y,16 to 35,16,35,NA,NA,NA,HIV negative,901,0,0,NG,27,901,0.03,genital fluid,NAAT,93.3,99.2,0.024801536,0.006112462,0.014091772,0.038225778,16.05527754,647.3501167
#23319,Otieno 2015,Kisumu Incidence Cohort Study (KICoS),January,2007,March,2009,2015,2008,Kenya,EA,EA,Peri-urban,Kisumu,Cross sectional,Convenience,Male,Community members,"Cohort Study: HIV-negative individuals. Healthy adults, sexually active at least once in the past three months, HIV-negative, and not pregnant. individuals recruited for HIV incidence cohort study (recruitment in multiple venues such as market centers, truck stops, beaches, churches, women’s groups, community groups, formal and informal work-based groups, colleges and schools, and HIV Voluntary Counseling and Testing centers)",Adult,Y,18 to 34,18,34,NA,NA,NA,HIV negative,422,0,0,CT,12,422,0.028436019,urine,NAAT,87.8,99.3,0.027083979,0.00970882,0.010988753,0.047622084,7.571246061,279.5470401
#23319,Otieno 2015,Kisumu Incidence Cohort Study (KICoS),January,2007,March,2009,2015,2008,Kenya,EA,EA,Peri-urban,Kisumu,Cross sectional,Convenience,Male,Community members,"Cohort Study: HIV-negative individuals. Healthy adults, sexually active at least once in the past three months, HIV-negative, and not pregnant. individuals recruited for HIV incidence cohort study (recruitment in multiple venues such as market centers, truck stops, beaches, churches, women’s groups, community groups, formal and informal work-based groups, colleges and schools, and HIV Voluntary Counseling and Testing centers)",Adult,Y,18 to 34,18,34,NA,NA,NA,HIV negative,422,0,0,NG,0,422,0,urine,NAAT,80.9,99.9,0.002881495,0.002922878,7.24E-05,0.010654106,0.969083321,336.3127222
#23319,Otieno 2015,Kisumu Incidence Cohort Study (KICoS),January,2007,March,2009,2015,2008,Kenya,EA,EA,Peri-urban,Kisumu,Cross sectional,Convenience,Female,Community members,"Cohort Study: HIV-negative individuals. Healthy adults, sexually active at least once in the past three months, HIV-negative, and not pregnant. individuals recruited for HIV incidence cohort study (recruitment in multiple venues such as market centers, truck stops, beaches, churches, women’s groups, community groups, formal and informal work-based groups, colleges and schools, and HIV Voluntary Counseling and Testing centers)",Adult,Y,18 to 34,18,34,NA,NA,NA,HIV negative,424,0,0,CT,12,424,0.028301887,genital fluid,NAAT,88.6,99.6,0.030260187,0.009376177,0.014061679,0.050919186,10.10059254,333.7914803
#23319,Otieno 2015,Kisumu Incidence Cohort Study (KICoS),January,2007,March,2009,2015,2008,Kenya,EA,EA,Peri-urban,Kisumu,Cross sectional,Convenience,Female,Community members,"Cohort Study: HIV-negative individuals. Healthy adults, sexually active at least once in the past three months, HIV-negative, and not pregnant. individuals recruited for HIV incidence cohort study (recruitment in multiple venues such as market centers, truck stops, beaches, churches, women’s groups, community groups, formal and informal work-based groups, colleges and schools, and HIV Voluntary Counseling and Testing centers)",Adult,Y,18 to 34,18,34,NA,NA,NA,HIV negative,424,0,0,NG,20,424,0.047169811,genital fluid,NAAT,93.3,99.2,0.044360441,0.011019052,0.024971456,0.067935926,15.4880719,349.1415247
#22337,Heffron 2021,NA,August,2019,February,2020,2021,2020,Kenya,EA,EA,Urban,Thika and Kisumu,Cross sectional,Consecutive,Female,GYN attendees,Women seeking post-abortion services,Adult,Y,15 to 30,15,30,NA,21,19-22,HIV negative,198,0,0,CT,36,198,0.181818182,urine,NAAT,87,99.8,0.210368113,0.031214966,0.153124508,0.271993891,35.86400292,170.4821253
#22337,Heffron 2021,NA,August,2019,February,2020,2021,2020,Kenya,EA,EA,Urban,Thika and Kisumu,Cross sectional,Consecutive,Female,GYN attendees,Women seeking post-abortion services,Adult,Y,15 to 30,15,30,NA,21,19-22,HIV negative,198,0,0,NG,4,198,0.02020202,urine,NAAT,91.6,100,0.027234351,0.012067367,0.009221652,0.055325755,4.954698645,181.9282821
#23326,Oware 2023,DoxyPEP,February,2020,November,2021,2023,2021,Kenya,EA,EA,Urban,"Lumumba, Kisumu",Cohort,NR,Female,HIV/STI prevention trial participants,"DoxyPEP study baseline. HIV-negative, cisgender young women with a current prescription for HIV PrEP according to the national guidelines of Kenya",Adult,Y,18 to 30,18,30,NA,24,21-27,HIV negative,448,0,0,CT,63,448,0.141,genital fluid,NAAT,88.6,99.6,0.156449062,0.018603581,0.121822343,0.194996748,59.6573719,381.3213788
#23326,Oware 2023,DoxyPEP,February,2020,November,2021,2023,2021,Kenya,EA,EA,Urban,"Lumumba, Kisumu",Cohort,NR,Female,HIV/STI prevention trial participants,"DoxyPEP study baseline. HIV-negative, cisgender young women with a current prescription for HIV PrEP according to the national guidelines of Kenya",Adult,Y,18 to 30,18,30,NA,24,21-27,HIV negative,448,0,0,NG,17,448,0.038,genital fluid,NAAT,93.3,99.2,0.034740477,0.009862402,0.017621608,0.055608129,11.97706052,344.7580931
#21775,Celum 2022,POWER,June,2017,September,2020,2022,2019,Kenya,EA,EA,Urban,Kisumu,Cohort,NR,Female,FP attendees,"POWER baseline: HIV negative, had vaginal intercourse in the prior 3 months and interested in PrEP. AGYW seeking family planning, SRH services and primary care.",Youth,Y,16 to 25,16,25,NA,21,19-23,HIV negative,1000,0,0,CT,172,1000,0.172,genital fluid,NAAT,88.6,99.6,0.191299311,0.013277769,0.165771047,0.21699155,167.8666549,877.5078907
#21775,Celum 2022,POWER,June,2017,September,2020,2022,2019,Kenya,EA,EA,Urban,Kisumu,Cohort,NR,Female,FP attendees,"POWER baseline: HIV negative, had vaginal intercourse in the prior 3 months and interested in PrEP. AGYW seeking family planning, SRH services and primary care.",Youth,Y,16 to 25,16,25,NA,21,19-23,HIV negative,1000,0,0,NG,61,1000,0.061,genital fluid,NAAT,93.3,99.2,0.058251302,0.008178071,0.042832143,0.075104695,47.77982593,820.2361927
#22864,Masese 2017,NA,August,2014,March,2015,2017,2015,Kenya,EA,EA,Urban,Mombasa,Cross sectional,Convenience,Female,Students,University or high school students,Youth,Y,15 to 24,15,24,NA,18,17-19,Mixed,NA,NA,NR,CT,16,451,0.035476718,urine,NAAT,87,99.8,0.04081308,0.010062859,0.023328758,0.061851896,15.7782644,386.5982298
#22864,Masese 2017,NA,August,2014,March,2015,2017,2015,Kenya,EA,EA,Urban,Mombasa,Cross sectional,Convenience,Female,Students,University or high school students,Youth,Y,15 to 24,15,24,NA,18,17-19,Mixed,NA,NA,NR,NG,7,451,0.015521064,urine,NAAT,91.6,100,0.019183818,0.00679533,0.008221998,0.03464936,7.816936278,407.475519
#22864,Masese 2017,NA,August,2014,March,2015,2017,2015,Kenya,EA,EA,Urban,Mombasa,Cross sectional,Convenience,Female,Students,University or high school students,Youth,Y,15 to 24,15,24,NA,18,17-19,Mixed,NA,NA,NR,TV,3,451,0.006651885,urine,NAAT,66.9,98.3,0.004655767,0.004486636,0.000138927,0.016317184,1.071800713,230.2092597
#22934,Mehta 2023,CaCHe study,March,2018,April,2018,2023,2018,Kenya,EA,EA,Unsure,Siaya County,Cohort,Random,Female,Students,Secondary school girls,Youth,Y,14 to 22,14,22,NA,NA,NA,Mixed,436,7,1.61E-02,CT,43,436,0.098623853,genital fluid,NAAT,88.6,99.6,0.109085795,0.016158561,0.079898011,0.143199553,40.60382235,372.2191543
#22934,Mehta 2023,CaCHe study,March,2018,April,2018,2023,2018,Kenya,EA,EA,Unsure,Siaya County,Cohort,Random,Female,Students,Secondary school girls,Youth,Y,14 to 22,14,22,NA,NA,NA,Mixed,436,7,1.61E-02,NG,27,436,0.061926606,genital fluid,NAAT,93.3,99.2,0.060650036,0.012486478,0.037885625,0.086411639,22.16203508,365.4084427
#22934,Mehta 2023,CaCHe study,March,2018,April,2018,2023,2018,Kenya,EA,EA,Unsure,Siaya County,Cohort,Random,Female,Students,Secondary school girls,Youth,Y,14 to 22,14,22,NA,NA,NA,Mixed,436,7,1.61E-02,TV,6,436,0.013761468,genital fluid,rapid antigen test,83.3,98.8,0.007776688,0.006096927,0.000320921,0.022657879,1.614272063,207.5783465
#24013,Yuh 2020,Kenya Girls Study (KGS),NR,2014,NR,2016,2020,2015,Kenya,EA,EA,Urban,Thika,Cohort,Convenience,Female,Students,Cohort of low risk girls with no history of sexual intercourse or sex with only one partner,Youth,Y,16 to 20,16,20,NA,18.6,NA,HIV negative,373,0,0,CT,41,373,0.109919571,genital fluid,NAAT,88.6,99.6,0.121929013,0.018077829,0.088996542,0.159237232,39.94396561,327.6001711
#24013,Yuh 2020,Kenya Girls Study (KGS),NR,2014,NR,2016,2020,2015,Kenya,EA,EA,Urban,Thika,Cohort,Convenience,Female,Students,Cohort of low risk girls with no history of sexual intercourse or sex with only one partner,Youth,Y,16 to 20,16,20,NA,18.6,NA,HIV negative,373,0,0,NG,5,373,0.013404826,genital fluid,NAAT,93.3,99.2,0.009500435,0.006476409,0.000690966,0.025071063,2.131438299,224.351654
#24013,Yuh 2020,Kenya Girls Study (KGS),NR,2014,NR,2016,2020,2015,Kenya,EA,EA,Urban,Thika,Cohort,Convenience,Female,Students,Cohort of low risk girls with no history of sexual intercourse or sex with only one partner,Youth,Y,16 to 20,16,20,NA,18.6,NA,HIV negative,373,0,0,TV,3,373,0.008042895,genital fluid,NAAT,95,98,0.004106117,0.0038394,0.000135764,0.014213625,1.139066164,277.4071311
#22571,Kerubo 2016,NA,August,2012,November,2013,2016,2012,Kenya,EA,EA,Rural,Western Kenya,Cross sectional,Consecutive,Female,Students,participants in pilot examining the feasibility of menstrual solutions for girls in rural primary schools,Youth,Y,14 to 17,14,17,NA,NA,NA,Mixed,NA,NA,NR,CT,13,511,0.025440313,genital fluid,NAAT,88.6,99.6,0.026643447,0.008171919,0.012407318,0.043974888,10.3467675,388.3419195
#22571,Kerubo 2016,NA,August,2012,November,2013,2016,2012,Kenya,EA,EA,Rural,Western Kenya,Cross sectional,Consecutive,Female,Students,participants in pilot examining the feasibility of menstrual solutions for girls in rural primary schools,Youth,Y,14 to 17,14,17,NA,NA,NA,Mixed,NA,NA,NR,NG,3,511,0.005870841,genital fluid,NAAT,93.3,99.2,0.003768118,0.0034255,9.84E-05,0.012422283,1.20548429,319.9167938
#22571,Kerubo 2016,NA,August,2012,November,2013,2016,2012,Kenya,EA,EA,Rural,Western Kenya,Cross sectional,Consecutive,Female,Students,participants in pilot examining the feasibility of menstrual solutions for girls in rural primary schools,Youth,Y,14 to 17,14,17,NA,NA,NA,Mixed,NA,NA,NR,TV,13,512,0.025390625,genital fluid,culture,68.8,100,0.039642275,0.010727146,0.021933028,0.063220396,13.11540669,330.8439454
